Date : 2022-10-08 09:51:56
Directory : d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler
Total : 178 files,  55598 codes, 7759 comments, 4910 blanks, all 68267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Go       |        177 |     55,596 |      7,759 |      4,908 |     68,263 |
| Markdown |          1 |          2 |          0 |          2 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\comparer_test.go                            | Go       |        158 |         15 |         20 |        193 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\debugger.go                                 | Go       |         46 |         19 |          8 |         73 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\dumper.go                                   | Go       |         53 |         25 |         11 |         89 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\signal.go                                   | Go       |          3 |         19 |          5 |         27 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\signal_windows.go                           | Go       |          3 |         17 |          4 |         24 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\fake\fake_cache.go                                   | Go       |         41 |         31 |         19 |         91 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\interface.go                                         | Go       |         27 |         77 |         19 |        123 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\node_tree.go                                         | Go       |        103 |         30 |         11 |        144 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\node_tree_test.go                                    | Go       |        440 |         26 |         18 |        484 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\snapshot.go                                          | Go       |        134 |         39 |         26 |        199 |
